id,text,created_at
1532786966772625408,"Hani Muntoha Raih Gelar Magister, Ketua IKA-FEB UBHARA Beri Selamat https://t.co/g6e4uvBasj",2022-06-03T18:11:05.000Z
1532786464370503681,"Hani Muntoha Raih Gelar Magister, Ketua IKA-FEB UBHARA Beri Selamat https://t.co/euI5m6CLlo",2022-06-03T18:09:05.000Z
1532747626890010624,@ShilpiSinghINC En 8 years me desh me Kafi Devlopment huwa Bharat aaj world leader bankar Ubhara h orr Congressi chamche only Gali dete reh gaye,2022-06-03T15:34:45.000Z
1532747208960843778,"@Aldafrmpc Bismillah ,Positive lulus dari ubhara tahun ini.",2022-06-03T15:33:06.000Z
1532417024076283904,"@cabcae @FOODFESS2 pancong balap banyakk.
ada yg deket bunderan belakang smb arah ubhara sebelah kiri, terus deket pos pjl 81 proyek, sama di pancong rawa deket kopi maning, itu yg rame. diperum3 juga ada sebrang ropisbak, ramenya sama",2022-06-02T17:41:04.000Z
1532404207982039041,@abhas_rewcie @shitposter09 Mene tu hanuman chalisa pade. Tab Jakar Shanti mili. Abhe bhe sadme se nahe ubhara,2022-06-02T16:50:08.000Z
1532334074546622464,@akshaykumar @AmitShah Itihaas picture banane ke liye to Koi jadugar hi picture banaa sakta hai jaise aapane itihaas ko kuchh ubhara hai is chij ke liye thank u so Mach akshy Kumar ji Jo duniya Koi itihaas dikhane ke liye aapane is picture ko banaya hai,2022-06-02T12:11:27.000Z
1532222060792909824,"Dunya Ko Hai Phir Ma’arka-e-Rooh-o-Badan Paish

Tehzeeb Ne Phir Apne Darindon Ko Ubhara

Allah Ko Pa-Mardi-e-Momin Pe Bharosa

Iblees Ko Yourap Ki Machinon Ka Sahara

-Allamah Mohammed Iqbal https://t.co/pS6TiZ6BNY",2022-06-02T04:46:21.000Z
1532092365946626053,"I remember kudala sisakhula we would hear all these legendary stories ngo Dika that nigga was like a God eXroad and later on I got to know him personally ngo Les. Sad how ubomi bakhe bajika ziziyobisi maan, I hope uzolala ngoxolo yhini uBhara madoda 🕊",2022-06-01T20:10:59.000Z
1532024043041263617,"Duniya ko Hai phir Ma'arka-e-Rooh-o-badan paish
Tehzeeb ney phir apne Darindon ko Ubhara
Allah ko pa-Mardi-e-Momin pey Bharosa
Iblees ko yourap ki Machinon ka sahara

-Dr.Sir Mohammad Iqbal",2022-06-01T15:39:30.000Z
1532007962923134977,"Deen Hath Se De Kar Agar Azad Ho Millat

Hai Aesi Tajarat Mein Musalman Ka Khasara

Dunya Ko Hai Phir Ma’arka-e-Rooh-o-Badan Paish

Tehzeeb Ne Phir Apne Darindon Ko Ubhara

Allah Ko Pa-Mardi-e-Momin Pe Bharosa 

Iblees Ko Yourap Ki Machinon Ka Sahara",2022-06-01T14:35:36.000Z
1531643677134946306,"@collegemenfess Sby ada Ubaya, Ubhara, UPH coba aj nder",2022-05-31T14:28:03.000Z
1531562771283775488,VIRAL Mahasiswa UBHARA Surabaya KKN Di Desa Duyung Mojokerto https://t.co/qherwo6hwU,2022-05-31T09:06:34.000Z
1531479677751111680,"@sbmptnfess ubaya, wijaya kusuma, ubhara",2022-05-31T03:36:23.000Z
1531478942955507713,"@al_fianna Yups ubhara available and affordable.
Lanjutkan.",2022-05-31T03:33:28.000Z
1531294278248370177,"Aisa hai Anjum, desh ko kisi babu ne nahi ubhara hai. When the country was under the grasp of covid, it’s the private institutions like Serum and Bharat Biotech which came to save it and the world. All babus have done in this country are-corruption, bureaucratic hurdles, red tape https://t.co/bP4Xr4bvWb",2022-05-30T15:19:40.000Z
1531234229744324608,Penutupan KKN Tematik UBHARA Kelompok 09 Universitas Bhayangkara Di Jemur Ngawinan Surabaya https://t.co/QUZvXfQJSS,2022-05-30T11:21:03.000Z
1531230072555810818,Penutupan KKN Tematik UBHARA Kelompok 09 Universitas Bhayangkara Di Jemur Ngawinan Surabaya https://t.co/lB7UFHwwGh,2022-05-30T11:04:32.000Z
1530887198328770560,"Kembangkan Kemandirian Anak, KKN TEMATIK UBHARA Kelompok 01 Sasar PAUD Di Surabaya https://t.co/kApYdmRbpk",2022-05-29T12:22:05.000Z
1530885180939939840,"Kembangkan Kemandirian Anak, KKN TEMATIK UBHARA Kelompok 01 Sasar PAUD Di Surabaya https://t.co/Tp1XBeqijP",2022-05-29T12:14:04.000Z
1530880283108835334,https://t.co/gdqgMxnRHL,2022-05-29T11:54:36.000Z
1530868296974843904,"Program KKN, UBHARA Surabaya Kunjungi Taman Waduk Long Storage di Mojokerto https://t.co/GARS9SiaI6",2022-05-29T11:06:58.000Z
1530570030806466560,"RT @samsyed3097: Swords 🗡 r still in our hands one day by the will of Allah we will crossed the red line &amp; that day will be ours 

Dunya Ko…",2022-05-28T15:21:46.000Z
1530569876112302081,"Swords 🗡 r still in our hands one day by the will of Allah we will crossed the red line &amp; that day will be ours 

Dunya Ko Hai Phir Ma’arka-e-Rooh-o-Badan Paish
Tehzeeb Ne Phir Apne Darindon Ko Ubhara

Allah Ko Pa-Mardi-e-Momin Pe Bharosa
Iblees Ko Yourap Ki Machinon Ka Sahara https://t.co/qbmxJVWofb",2022-05-28T15:21:09.000Z
1530474169766252544,"RT @lokeshsiddh1408: zakham dil me daba hai ubhara nahi hai, gum ka dariya java hai utara nahi hai, khud se agar bach paoge to bach jaoge,…",2022-05-28T09:00:51.000Z
